Date,Open,High,Low,Close,Volume
2021-04-22,68.47121,68.74637,66.46752,66.82734,2251767
2021-04-23,66.31936,66.62273,65.19757,65.37395,1502618
2021-04-26,65.61385,70.27031,64.92243,70.17860,3393405
2021-04-27,70.02338,70.02338,65.96661,66.82030,3091962
2021-04-28,66.67212,67.02488,64.83775,65.11291,2343142
2021-04-29,65.61384,65.96660,65.11292,65.57856,938494
2021-04-30,65.67028,65.82550,64.20279,64.56261,1008579
2021-05-03,64.56262,65.25403,63.81476,64.23102,1255271
2021-05-04,64.66140,64.94362,64.34391,64.54147,478713
2021-05-05,65.96660,66.31937,64.97887,65.26108,684613
2021-05-06,65.89605,66.63685,65.08469,65.38101,1616453
2021-05-07,65.38101,65.38101,65.38101,65.38101,0
2021-05-10,65.38101,65.38101,65.38101,65.38101,0
2021-05-11,65.38101,65.38101,65.38101,65.38101,0
2021-05-12,65.38101,65.38101,65.38101,65.38101,0
2021-05-13,65.38101,65.38101,65.38101,65.38101,0
2021-05-14,65.38101,65.38101,65.38101,65.38101,0
2021-05-17,64.20281,65.38103,60.85156,62.35433,16646719
2021-05-18,62.82703,63.35618,62.08623,62.72120,8459795
2021-05-19,62.79173,64.40739,62.72118,63.32793,8450798
2021-05-20,63.49727,63.60310,62.07211,62.18499,4431796
2021-05-21,62.61536,64.20279,62.08622,63.49021,3512679
2021-05-24,64.63316,65.25402,63.15156,63.51138,14364647
2021-05-25,64.06170,64.41446,63.49727,63.59605,6728391
2021-05-26,63.67366,66.10772,63.67366,65.68440,9975856
2021-05-27,66.84852,67.01784,64.76722,65.71262,47490914
2021-05-28,66.46047,68.35834,66.00188,67.33533,16838692
2021-05-31,67.90680,69.00036,67.73747,68.78165,11393682
2021-06-01,69.67062,70.16449,69.14148,69.77645,8178191
2021-06-02,70.05867,70.05867,68.43596,68.77461,4758839
2021-06-03,69.21203,69.35313,68.43595,68.49944,4182795
2021-06-04,68.78870,69.42368,68.51355,68.76048,5314566
2021-06-07,69.76939,70.19976,68.45006,68.71816,5583015
2021-06-08,68.87339,68.87339,67.87154,68.07614,3438498
2021-06-09,68.65848,68.93168,66.03436,66.34351,6145834
2021-06-10,66.40101,66.81800,65.92651,66.14220,9639665
2021-06-11,66.42977,66.89708,66.01278,66.65983,5803980
2021-06-14,68.65847,71.65643,68.29900,71.65643,25332363
2021-06-15,72.97207,74.69752,71.71393,71.87210,12115901
2021-06-16,72.64857,73.25966,71.18194,71.54859,5458926
2021-06-17,71.15318,73.25966,70.99501,72.01590,6791321
2021-06-18,71.82180,72.97210,71.24665,71.36168,3151921
2021-06-21,71.74988,72.39692,71.16036,71.23943,3287354
2021-06-22,71.53422,71.89368,70.72900,70.83685,3768580
2021-06-23,71.25383,72.32504,70.45581,71.31853,10269396
2021-06-24,71.39043,72.07342,70.95907,71.13161,3856256
2021-06-25,71.16756,71.35448,70.20418,70.45581,4557299
2021-06-28,70.39112,70.74340,69.19768,69.57153,9473433
2021-06-29,70.18263,70.18263,67.43629,67.77419,11650517
2021-06-30,67.93953,69.01074,67.93953,68.32056,2548674
2021-07-01,68.87415,69.71531,68.73036,69.20486,2715616
2021-07-02,69.44929,69.73686,68.56500,68.79506,2991441
2021-07-05,69.08983,69.74406,68.44278,68.77350,10487721
2021-07-06,69.36303,69.66498,68.26305,68.50749,3304739
2021-07-07,68.32777,68.65128,67.58007,67.99706,1816655
2021-07-08,68.28461,69.66497,67.61600,68.79506,4420490
2021-07-09,68.45717,69.33428,68.00424,68.10490,2247855
2021-07-12,67.98266,69.52119,67.93953,68.06894,1757839
2021-07-13,67.79576,68.19117,67.61602,67.75262,2470198
2021-07-14,67.93954,68.01143,67.61602,67.71667,1844603
2021-07-15,67.78855,70.08914,67.58006,69.03950,6877597
2021-07-16,69.34145,69.52118,68.47873,68.85976,1351095
2021-07-19,69.55714,69.58590,68.80225,68.92448,1977976
2021-07-20,68.92448,68.92448,68.92448,68.92448,0
2021-07-21,68.92448,68.92448,68.92448,68.92448,0
2021-07-22,68.92448,68.92448,68.92448,68.92448,0
2021-07-23,68.92448,68.92448,68.92448,68.92448,0
2021-07-26,69.09702,69.23362,67.58006,67.83888,5130885
2021-07-27,67.86764,68.44279,67.58007,67.68072,918368
2021-07-28,67.93234,68.01142,66.94021,67.15589,1054649
2021-07-29,67.01210,67.75980,66.68139,67.00491,2330149
